	source	target	weight	edge_sample	edcolor
321	Actinomyces sp. oral taxon 170	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
322	Porphyromonas sp. oral taxon 278	Actinomyces sp. oral taxon 171	1.0	Intertype	#cccccc
323	Actinomyces sp. oral taxon 171	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
324	Porphyromonas sp. oral taxon 278	Capnocytophaga sp. oral taxon 332	1.0	Intertype	#cccccc
325	Capnocytophaga sp. oral taxon 332	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
326	Porphyromonas sp. oral taxon 278	Capnocytophaga sputigena	1.0	Intertype	#cccccc
327	Capnocytophaga sputigena	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
328	Porphyromonas sp. oral taxon 278	Corynebacterium durum	1.0	Intertype	#cccccc
329	Corynebacterium durum	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
330	Porphyromonas sp. oral taxon 278	Corynebacterium matruchotii	1.0	Intertype	#cccccc
331	Corynebacterium matruchotii	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
332	Porphyromonas sp. oral taxon 278	Neisseria cinerea	1.0	Intertype	#cccccc
333	Neisseria cinerea	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
334	Porphyromonas sp. oral taxon 278	Neisseria meningitidis	1.0	Intertype	#cccccc
335	Neisseria meningitidis	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
336	Porphyromonas sp. oral taxon 278	Porphyromonas gingivalis	1.0	Intertype	#cccccc
337	Porphyromonas gingivalis	Porphyromonas sp. oral taxon 278	1.0	Intertype	#cccccc
338	Prevotella sp. oral taxon 473	Actinomyces naeslundii	1.0	Intertype	#cccccc
339	Actinomyces naeslundii	Prevotella sp. oral taxon 473	1.0	Intertype	#cccccc
340	Prevotella sp. oral taxon 473	Actinomyces oris	1.0	Intertype	#cccccc
341	Actinomyces oris	Prevotella sp. oral taxon 473	1.0	Intertype	#cccccc
342	Prevotella sp. oral taxon 473	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
343	Actinomyces sp. ICM47	Prevotella sp. oral taxon 473	1.0	Intertype	#cccccc
344	Prevotella sp. oral taxon 473	Actinomyces sp. oral taxon 170	1.0	Intertype	#cccccc
345	Actinomyces sp. oral taxon 170	Prevotella sp. oral taxon 473	1.0	Intertype	#cccccc
346	Prevotella sp. oral taxon 473	Actinomyces sp. oral taxon 171	1.0	Intertype	#cccccc
347	Actinomyces sp. oral taxon 171	Prevotella sp. oral taxon 473	1.0	Intertype	#cccccc
348	Prevotella sp. oral taxon 473	Capnocytophaga sp. oral taxon 332	1.0	Intertype	#cccccc
349	Capnocytophaga sp. oral taxon 332	Prevotella sp. oral taxon 473	1.0	Intertype	#cccccc
350	Prevotella sp. oral taxon 473	Capnocytophaga sputigena	1.0	Intertype	#cccccc
351	Capnocytophaga sputigena	Prevotella sp. oral taxon 473	1.0	Intertype	#cccccc
352	Prevotella sp. oral taxon 473	Corynebacterium durum	1.0	Intertype	#cccccc
353	Corynebacterium durum	Prevotella sp. oral taxon 473	1.0	Intertype	#cccccc
354	Prevotella sp. oral taxon 473	Corynebacterium matruchotii	1.0	Intertype	#cccccc
355	Corynebacterium matruchotii	Prevotella sp. oral taxon 473	1.0	Intertype	#cccccc
356	Prevotella sp. oral taxon 473	Neisseria cinerea	1.0	Attached	#4e4dfc
