	source	target	weight	edge_sample	edcolor
14675	Alloprevotella rava	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14676	Streptococcus pseudopneumoniae	Bacteroidetes oral taxon 274	1.0	Intertype	#cccccc
14677	Bacteroidetes oral taxon 274	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14678	Streptococcus pseudopneumoniae	Bulleidia extructa	1.0	Intertype	#cccccc
14679	Bulleidia extructa	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14680	Streptococcus pseudopneumoniae	Campylobacter curvus	1.0	Intertype	#cccccc
14681	Campylobacter curvus	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14682	Streptococcus pseudopneumoniae	Capnocytophaga sp. oral taxon 324	1.0	Intertype	#cccccc
14683	Capnocytophaga sp. oral taxon 324	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14684	Streptococcus pseudopneumoniae	Corynebacterium matruchotii	1.0	Intertype	#cccccc
14685	Corynebacterium matruchotii	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14686	Streptococcus pseudopneumoniae	Eikenella corrodens	1.0	Intertype	#cccccc
14687	Eikenella corrodens	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14688	Streptococcus pseudopneumoniae	Filifactor alocis	1.0	Intertype	#cccccc
14689	Filifactor alocis	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14690	Streptococcus pseudopneumoniae	Fusobacterium nucleatum	1.0	Intertype	#cccccc
14691	Fusobacterium nucleatum	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14692	Streptococcus pseudopneumoniae	Fusobacterium sp. CM1	1.0	Intertype	#cccccc
14693	Fusobacterium sp. CM1	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14694	Streptococcus pseudopneumoniae	Fusobacterium sp. CM21	1.0	Intertype	#cccccc
14695	Fusobacterium sp. CM21	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14696	Streptococcus pseudopneumoniae	Fusobacterium sp. oral taxon 370	1.0	Intertype	#cccccc
14697	Fusobacterium sp. oral taxon 370	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14698	Streptococcus pseudopneumoniae	Gemella haemolysans	1.0	Intertype	#cccccc
14699	Gemella haemolysans	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14700	Streptococcus pseudopneumoniae	Granulicatella elegans	1.0	Attached	#4e4dfc
14701	Granulicatella elegans	Streptococcus pseudopneumoniae	1.0	Attached	#4e4dfc
14702	Streptococcus pseudopneumoniae	Johnsonella ignava	1.0	Intertype	#cccccc
14703	Johnsonella ignava	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14704	Streptococcus pseudopneumoniae	Kingella denitrificans	1.0	Intertype	#cccccc
14705	Kingella denitrificans	Streptococcus pseudopneumoniae	1.0	Intertype	#cccccc
14706	Streptococcus pseudopneumoniae	Leptotrichia sp. oral taxon 879	1.0	Intertype	#cccccc
