	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
548	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
549	Lautropia	2	Supragingival_plaque	#ff964f	7.0	0.0	#ffa558	#8000ff
550	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
551	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
552	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
553	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
554	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
555	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
556	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
557	Abiotrophia	2	Buccal_mucosa	#1996f3	9.0	0.0	#ff0000	#8000ff
558	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
559	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
560	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
561	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
562	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
563	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
564	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
565	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
566	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
567	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
568	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
569	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
570	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
571	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
572	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
573	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
574	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
575	Kytococcus	1	Tongue_dorsum	#ff0000	7.0	0.0	#ffa558	#8000ff
576	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
577	Lachnoanaerobaculum	2	Tongue_dorsum	#ff0000	8.0	0.0	#ff592d	#8000ff
578	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
579	Lautropia	2	Supragingival_plaque	#ff964f	7.0	0.0	#ffa558	#8000ff
