	source	source_freq	source_type	target_type	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
624	Novosphingobium	1	Throat	Throat	#ff5029	3.0	5.0	#5af8c8	#ecc86f
626	Odoribacter	20	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
642	Olsenella	7	Subgingival_plaque	Buccal_mucosa	#e4cf74	5.0	7.0	#ecc86f	#ff0000
650	Oribacterium	33	Saliva	Subgingival_plaque	#7effb5	5.0	0.0	#ecc86f	#8000ff
656	Oscillibacter	17	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
668	Ottowia	14	Subgingival_plaque	Attached	#e4cf74	5.0	0.0	#ecc86f	#8000ff
672	Oxalobacter	5	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
684	Paenibacillus	1	Anterior_nares	Mid_vagina	#8000ff	0.0	6.0	#8000ff	#ff703a
690	Parabacteroides	26	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
695	Dysgonomonas	2	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
710	Paracoccus	7	Anterior_nares	Saliva	#8000ff	5.0	7.0	#ecc86f	#ff0000
715	Klebsiella	1	Anterior_nares	Anterior_nares	#8000ff	5.0	7.0	#ecc86f	#ff0000
716	Parasutterella	11	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
722	Parvimonas	19	Throat	Attached	#ff5029	5.0	0.0	#ecc86f	#8000ff
735	Mycoplasma	11	Subgingival_plaque	Throat	#e4cf74	5.0	4.0	#ecc86f	#a2f9a0
740	Pasteurella	14	Buccal_mucosa	Attached	#1996f3	7.0	4.0	#ff0000	#a2f9a0
756	Pectobacterium	1	Saliva	Throat	#7effb5	5.0	7.0	#ecc86f	#ff0000
760	Peptoclostridium	25	Stool	Supragingival_plaque	#b2f396	6.0	1.0	#ff703a	#386df9
780	Peptoniphilus	27	Anterior_nares	Anterior_nares	#8000ff	5.0	7.0	#ecc86f	#ff0000
784	Peptostreptococcus	22	Throat	Subgingival_plaque	#ff5029	5.0	0.0	#ecc86f	#8000ff
794	Phascolarctobacterium	6	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
814	Photobacterium	1	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
818	Porphyrobacter	12	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
822	Porphyromonas	40	Tongue_dorsum	Saliva	#ff0000	5.0	0.0	#ecc86f	#8000ff
836	Prevotella	56	Throat	Buccal_mucosa	#ff5029	5.0	0.0	#ecc86f	#8000ff
846	Propionibacterium	36	Anterior_nares	Supragingival_plaque	#8000ff	5.0	0.0	#ecc86f	#8000ff
854	Proteiniphilum	1	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
862	Pseudoflavonifractor	12	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
878	Pseudomonas	16	Mid_vagina	Mid_vagina	#18cde4	0.0	6.0	#8000ff	#ff703a
884	Pseudoramibacter	1	Supragingival_plaque	Supragingival_plaque	#ff964f	7.0	4.0	#ff0000	#a2f9a0
886	Psychrobacter	4	Saliva	Saliva	#7effb5	5.0	7.0	#ecc86f	#ff0000
896	Rheinheimera	1	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
900	Rhodopseudomonas	1	Posterior_fornix	Mid_vagina	#4df3ce	0.0	6.0	#8000ff	#ff703a
906	Riemerella	5	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
912	Rikenella	6	Stool	Stool	#b2f396	6.0	2.0	#ff703a	#10c6e6
920	Risungbinella	1	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
926	Roseburia	24	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
942	Rothia	36	Buccal_mucosa	Mixed	#1996f3	5.0	0.0	#ecc86f	#8000ff
955	Neisseria	32	Throat	Buccal_mucosa	#ff5029	5.0	0.0	#ecc86f	#8000ff
962	Ruminiclostridium	19	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
972	Ruminococcus	27	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
980	Runella	1	Attached	Attached	#4e4dfc	5.0	0.0	#ecc86f	#8000ff
982	Salmonella	7	Anterior_nares	Anterior_nares	#8000ff	4.0	3.0	#a2f9a0	#5af8c8
985	Pedobacter	2	Anterior_nares	Anterior_nares	#8000ff	4.0	3.0	#a2f9a0	#5af8c8
986	Sanguibacter	15	Saliva	Buccal_mucosa	#7effb5	5.0	0.0	#ecc86f	#8000ff
998	Scardovia	4	Supragingival_plaque	Buccal_mucosa	#ff964f	5.0	0.0	#ecc86f	#8000ff
1006	Selenomonas	26	Saliva	Supragingival_plaque	#7effb5	5.0	0.0	#ecc86f	#8000ff
1016	Senegalimassilia	2	Stool	Stool	#b2f396	0.0	2.0	#8000ff	#10c6e6
1022	Serratia	2	Saliva	Saliva	#7effb5	5.0	7.0	#ecc86f	#ff0000
1036	Shuttleworthia	3	Subgingival_plaque	Anterior_nares	#e4cf74	2.0	3.0	#10c6e6	#5af8c8
1058	Simonsiella	7	Attached	Posterior_fornix	#4e4dfc	5.0	7.0	#ecc86f	#ff0000
1062	Slackia	3	Throat	Saliva	#ff5029	5.0	7.0	#ecc86f	#ff0000
1066	Sneathia	3	Posterior_fornix	Posterior_fornix	#4df3ce	5.0	7.0	#ecc86f	#ff0000
1068	Solobacterium	23	Tongue_dorsum	Supragingival_plaque	#ff0000	5.0	0.0	#ecc86f	#8000ff
1082	Sphingobacterium	3	Anterior_nares	Stool	#8000ff	6.0	7.0	#ff703a	#ff0000
1090	Sphingobium	7	Mid_vagina	Mid_vagina	#18cde4	0.0	6.0	#8000ff	#ff703a
1092	Sphingopyxis	5	Mid_vagina	Posterior_fornix	#18cde4	0.0	6.0	#8000ff	#ff703a
1102	Staphylococcus	27	Attached	Anterior_nares	#4e4dfc	2.0	3.0	#10c6e6	#5af8c8
1116	Stenotrophomonas	6	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
1137	Sphingomonas	6	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
1138	Stomatobaculum	21	Saliva	Saliva	#7effb5	5.0	0.0	#ecc86f	#8000ff
1158	Streptobacillus	2	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
1182	Streptococcus	51	Attached	Subgingival_plaque	#4e4dfc	5.0	0.0	#ecc86f	#8000ff
1188	Streptomyces	1	Anterior_nares	Anterior_nares	#8000ff	2.0	3.0	#10c6e6	#5af8c8
1198	Subdoligranulum	15	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
1226	Sutterella	8	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
1232	Tannerella	24	Subgingival_plaque	Throat	#e4cf74	5.0	7.0	#ecc86f	#ff0000
1234	Tepidiphilus	1	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
1240	Terrisporobacter	1	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
