source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Moritellaceae	114	Moritellaceae	Alteromonadaceae	1.0	1	1	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	61	13.0	5.0	#ff8e4a	#9bfba5
Alteromonadaceae	115	Alteromonadaceae	Moritellaceae	1.0	1	1	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	61	13.0	5.0	#ff8e4a	#9bfba5
Mycobacteriaceae	116	Mycobacteriaceae	Alcaligenaceae	1.0	10	1	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	61	0.0	4.0	#8000ff	#62fbc4
Alcaligenaceae	117	Alcaligenaceae	Mycobacteriaceae	1.0	1	10	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	61	0.0	4.0	#8000ff	#62fbc4
Mycobacteriaceae	118	Mycobacteriaceae	Chromatiaceae	1.0	10	1	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	61	0.0	4.0	#8000ff	#62fbc4
Chromatiaceae	119	Chromatiaceae	Mycobacteriaceae	1.0	1	10	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	61	0.0	4.0	#8000ff	#62fbc4
Mycobacteriaceae	120	Mycobacteriaceae	Geodermatophilaceae	1.0	10	1	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	61	0.0	4.0	#8000ff	#62fbc4
Geodermatophilaceae	121	Geodermatophilaceae	Mycobacteriaceae	1.0	1	10	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	61	0.0	4.0	#8000ff	#62fbc4
Mycobacteriaceae	122	Mycobacteriaceae	Hydrogenophilaceae	1.0	10	1	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	61	0.0	4.0	#8000ff	#62fbc4
Hydrogenophilaceae	123	Hydrogenophilaceae	Mycobacteriaceae	1.0	1	10	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	61	0.0	4.0	#8000ff	#62fbc4
Mycobacteriaceae	124	Mycobacteriaceae	Intrasporangiaceae	1.0	10	2	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	61	0.0	4.0	#8000ff	#62fbc4
Intrasporangiaceae	125	Intrasporangiaceae	Mycobacteriaceae	1.0	2	10	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	61	0.0	4.0	#8000ff	#62fbc4
Neisseriaceae	126	Neisseriaceae	Aerococcaceae	6.0	36	33	Throat	Posterior_fornix	Intertype	#ff5029	#4df3ce	#cccccc	61	1.0	2.0	#622ffe	#10a2f0
Aerococcaceae	127	Aerococcaceae	Neisseriaceae	6.0	33	36	Posterior_fornix	Throat	Intertype	#4df3ce	#ff5029	#cccccc	61	5.0	2.0	#1fd3e1	#10a2f0
