	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
99	Actinomyces dentalis	Carnobacterium maltaromaticum	3.0	6	4	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	8
100	Carnobacterium maltaromaticum	Capnocytophaga cynodegmi	3.0	4	3	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	8
101	Capnocytophaga cynodegmi	Carnobacterium maltaromaticum	3.0	3	4	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	8
102	Catonella morbi	Campylobacter curvus	3.0	6	4	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
103	Campylobacter curvus	Catonella morbi	3.0	4	6	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
104	Centipeda periodontii	Actinomyces odontolyticus	3.0	6	7	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	8
105	Actinomyces odontolyticus	Centipeda periodontii	3.0	7	6	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	8
106	Centipeda periodontii	Actinomyces sp. oral taxon 414	4.0	6	6	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	8
107	Actinomyces sp. oral taxon 414	Centipeda periodontii	4.0	6	6	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	8
108	Centipeda periodontii	Aggregatibacter segnis	3.0	6	6	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	8
109	Aggregatibacter segnis	Centipeda periodontii	3.0	6	6	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	8
110	Centipeda periodontii	Capnocytophaga sp. oral taxon 324	3.0	6	6	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
111	Capnocytophaga sp. oral taxon 324	Centipeda periodontii	3.0	6	6	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
112	Centipeda periodontii	Capnocytophaga sp. oral taxon 863	3.0	6	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
113	Capnocytophaga sp. oral taxon 863	Centipeda periodontii	3.0	8	6	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
114	Corynebacterium diphtheriae	Actinomyces dentalis	3.0	3	6	Anterior_nares	Subgingival_plaque	Intertype	#8000ff	#e4cf74	#cccccc	8
115	Actinomyces dentalis	Corynebacterium diphtheriae	3.0	6	3	Subgingival_plaque	Anterior_nares	Intertype	#e4cf74	#8000ff	#cccccc	8
116	Corynebacterium diphtheriae	Campylobacter showae	3.0	3	8	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	8
117	Campylobacter showae	Corynebacterium diphtheriae	3.0	8	3	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	8
118	Dialister invisus	Actinomyces gerencseriae	3.0	6	8	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	8
119	Actinomyces gerencseriae	Dialister invisus	3.0	8	6	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	8
120	Dialister micraerophilus	Arcanobacterium haemolyticum	1.0	1	1	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	8
121	Arcanobacterium haemolyticum	Dialister micraerophilus	1.0	1	1	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	8
122	Eikenella corrodens	Capnocytophaga sp. oral taxon 326	5.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
123	Capnocytophaga sp. oral taxon 326	Eikenella corrodens	5.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
124	Eikenella corrodens	Cardiobacterium hominis	5.0	8	8	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	8
125	Cardiobacterium hominis	Eikenella corrodens	5.0	8	8	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	8
126	Eubacterium brachy	Actinomyces massiliensis	5.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
127	Actinomyces massiliensis	Eubacterium brachy	5.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
128	Eubacterium brachy	Capnocytophaga sp. oral taxon 326	5.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
129	Capnocytophaga sp. oral taxon 326	Eubacterium brachy	5.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
130	Eubacterium brachy	Capnocytophaga sp. oral taxon 338	5.0	8	8	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	8
131	Capnocytophaga sp. oral taxon 338	Eubacterium brachy	5.0	8	8	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	8
132	Eubacterium saphenum	Actinomyces slackii	1.0	1	1	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
133	Actinomyces slackii	Eubacterium saphenum	1.0	1	1	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
134	Eubacterium saphenum	Actinomyces sp. ICM47	1.0	1	1	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	8
135	Actinomyces sp. ICM47	Eubacterium saphenum	1.0	1	1	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	8
136	Eubacterium saphenum	Bulleidia extructa	1.0	1	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	8
137	Bulleidia extructa	Eubacterium saphenum	1.0	1	1	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	8
138	Fusobacterium hwasookii	Alloprevotella tannerae	3.0	6	4	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
139	Alloprevotella tannerae	Fusobacterium hwasookii	3.0	4	6	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
140	Fusobacterium hwasookii	Campylobacter curvus	3.0	6	4	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
141	Campylobacter curvus	Fusobacterium hwasookii	3.0	4	6	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
142	Fusobacterium hwasookii	Capnocytophaga granulosa	5.0	6	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
143	Capnocytophaga granulosa	Fusobacterium hwasookii	5.0	8	6	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
144	Fusobacterium necrophorum	Actinomyces slackii	1.0	1	1	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	8
145	Actinomyces slackii	Fusobacterium necrophorum	1.0	1	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	8
146	Fusobacterium necrophorum	Actinomyces sp. ICM47	1.0	1	1	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc	8
147	Actinomyces sp. ICM47	Fusobacterium necrophorum	1.0	1	1	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc	8
148	Fusobacterium necrophorum	Bulleidia extructa	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	8
149	Bulleidia extructa	Fusobacterium necrophorum	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	8
150	Fusobacterium necrophorum	Eubacterium saphenum	1.0	1	1	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	8
151	Eubacterium saphenum	Fusobacterium necrophorum	1.0	1	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	8
152	Fusobacterium periodonticum	Actinomyces sp. oral taxon 178	3.0	6	4	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	8
153	Actinomyces sp. oral taxon 178	Fusobacterium periodonticum	3.0	4	6	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	8
154	Fusobacterium periodonticum	Anaeroglobus geminatus	3.0	6	4	Tongue_dorsum	Saliva	Intertype	#ff0000	#7effb5	#cccccc	8
155	Anaeroglobus geminatus	Fusobacterium periodonticum	3.0	4	6	Saliva	Tongue_dorsum	Intertype	#7effb5	#ff0000	#cccccc	8
156	Fusobacterium sp. CM21	Actinomyces slackii	1.0	1	1	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	8
157	Actinomyces slackii	Fusobacterium sp. CM21	1.0	1	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	8
158	Fusobacterium sp. CM21	Actinomyces sp. ICM47	1.0	1	1	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc	8
159	Actinomyces sp. ICM47	Fusobacterium sp. CM21	1.0	1	1	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc	8
160	Fusobacterium sp. CM21	Bulleidia extructa	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	8
161	Bulleidia extructa	Fusobacterium sp. CM21	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	8
162	Fusobacterium sp. CM21	Eubacterium saphenum	1.0	1	1	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	8
163	Eubacterium saphenum	Fusobacterium sp. CM21	1.0	1	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	8
164	Fusobacterium sp. CM21	Fusobacterium necrophorum	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	8
165	Fusobacterium necrophorum	Fusobacterium sp. CM21	1.0	1	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	8
166	Fusobacterium sp. OBRC1	Campylobacter curvus	3.0	6	4	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
167	Campylobacter curvus	Fusobacterium sp. OBRC1	3.0	4	6	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
168	Gemella haemolysans	Aggregatibacter sp. oral taxon 458	3.0	6	6	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
169	Aggregatibacter sp. oral taxon 458	Gemella haemolysans	3.0	6	6	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
170	Gemella sanguinis	Actinomyces meyeri	3.0	4	6	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	8
