	source	target	weight	edge_sample	edcolor
938	Slackia	Parabacteroides	2.0	Intertype	#cccccc
939	Parabacteroides	Slackia	2.0	Intertype	#cccccc
940	Sneathia	Atopobium	1.0	Intertype	#cccccc
941	Atopobium	Sneathia	1.0	Intertype	#cccccc
942	Solobacterium	Isoptericola	4.0	Tongue_dorsum	#ff0000
943	Isoptericola	Solobacterium	4.0	Tongue_dorsum	#ff0000
944	Solobacterium	Oribacterium	3.0	Intertype	#cccccc
945	Oribacterium	Solobacterium	3.0	Intertype	#cccccc
946	Solobacterium	Prevotella	8.0	Intertype	#cccccc
947	Prevotella	Solobacterium	8.0	Intertype	#cccccc
948	Sphingobium	Pseudomonas	2.0	Mid_vagina	#18cde4
949	Pseudomonas	Sphingobium	2.0	Mid_vagina	#18cde4
950	Sphingomonas	Aliterella	1.0	Anterior_nares	#8000ff
951	Aliterella	Sphingomonas	1.0	Anterior_nares	#8000ff
952	Sphingomonas	Arthrobacter	1.0	Anterior_nares	#8000ff
953	Arthrobacter	Sphingomonas	1.0	Anterior_nares	#8000ff
954	Sphingomonas	Azohydromonas	1.0	Anterior_nares	#8000ff
955	Azohydromonas	Sphingomonas	1.0	Anterior_nares	#8000ff
956	Sphingomonas	Delftia	1.0	Anterior_nares	#8000ff
957	Delftia	Sphingomonas	1.0	Anterior_nares	#8000ff
958	Sphingomonas	Microvirga	1.0	Anterior_nares	#8000ff
959	Microvirga	Sphingomonas	1.0	Anterior_nares	#8000ff
960	Sphingomonas	Modestobacter	1.0	Anterior_nares	#8000ff
961	Modestobacter	Sphingomonas	1.0	Anterior_nares	#8000ff
962	Sphingomonas	Photobacterium	1.0	Anterior_nares	#8000ff
963	Photobacterium	Sphingomonas	1.0	Anterior_nares	#8000ff
964	Sphingomonas	Rheinheimera	1.0	Anterior_nares	#8000ff
965	Rheinheimera	Sphingomonas	1.0	Anterior_nares	#8000ff
966	Sphingomonas	Sphingobium	2.0	Intertype	#cccccc
967	Sphingobium	Sphingomonas	2.0	Intertype	#cccccc
968	Sphingopyxis	Bosea	1.0	Intertype	#cccccc
969	Bosea	Sphingopyxis	1.0	Intertype	#cccccc
970	Sphingopyxis	Enhydrobacter	2.0	Intertype	#cccccc
971	Enhydrobacter	Sphingopyxis	2.0	Intertype	#cccccc
972	Sphingopyxis	Fenollaria	1.0	Intertype	#cccccc
973	Fenollaria	Sphingopyxis	1.0	Intertype	#cccccc
974	Sphingopyxis	Pseudomonas	2.0	Mid_vagina	#18cde4
975	Pseudomonas	Sphingopyxis	2.0	Mid_vagina	#18cde4
976	Sphingopyxis	Rhodopseudomonas	1.0	Intertype	#cccccc
977	Rhodopseudomonas	Sphingopyxis	1.0	Intertype	#cccccc
978	Sphingopyxis	Sphingobium	2.0	Mid_vagina	#18cde4
979	Sphingobium	Sphingopyxis	2.0	Mid_vagina	#18cde4
980	Staphylococcus	Aureimonas	1.0	Intertype	#cccccc
981	Aureimonas	Staphylococcus	1.0	Intertype	#cccccc
982	Staphylococcus	Crocosphaera	1.0	Intertype	#cccccc
983	Crocosphaera	Staphylococcus	1.0	Intertype	#cccccc
984	Staphylococcus	Gulbenkiania	1.0	Intertype	#cccccc
985	Gulbenkiania	Staphylococcus	1.0	Intertype	#cccccc
986	Staphylococcus	Helicobacter	1.0	Intertype	#cccccc
987	Helicobacter	Staphylococcus	1.0	Intertype	#cccccc
988	Staphylococcus	Microbacterium	1.0	Intertype	#cccccc
989	Microbacterium	Staphylococcus	1.0	Intertype	#cccccc
990	Staphylococcus	Risungbinella	1.0	Intertype	#cccccc
991	Risungbinella	Staphylococcus	1.0	Intertype	#cccccc
992	Stenotrophomonas	Aliterella	1.0	Anterior_nares	#8000ff
993	Aliterella	Stenotrophomonas	1.0	Anterior_nares	#8000ff
994	Stenotrophomonas	Anaerococcus	2.0	Anterior_nares	#8000ff
995	Anaerococcus	Stenotrophomonas	2.0	Anterior_nares	#8000ff
996	Stenotrophomonas	Arthrobacter	1.0	Anterior_nares	#8000ff
997	Arthrobacter	Stenotrophomonas	1.0	Anterior_nares	#8000ff
998	Stenotrophomonas	Azohydromonas	1.0	Anterior_nares	#8000ff
999	Azohydromonas	Stenotrophomonas	1.0	Anterior_nares	#8000ff
1000	Stenotrophomonas	Delftia	1.0	Anterior_nares	#8000ff
1001	Delftia	Stenotrophomonas	1.0	Anterior_nares	#8000ff
1002	Stenotrophomonas	Microvirga	1.0	Anterior_nares	#8000ff
1003	Microvirga	Stenotrophomonas	1.0	Anterior_nares	#8000ff
1004	Stenotrophomonas	Modestobacter	1.0	Anterior_nares	#8000ff
1005	Modestobacter	Stenotrophomonas	1.0	Anterior_nares	#8000ff
1006	Stenotrophomonas	Photobacterium	1.0	Anterior_nares	#8000ff
1007	Photobacterium	Stenotrophomonas	1.0	Anterior_nares	#8000ff
1008	Stenotrophomonas	Rheinheimera	1.0	Anterior_nares	#8000ff
1009	Rheinheimera	Stenotrophomonas	1.0	Anterior_nares	#8000ff
1010	Stenotrophomonas	Sphingomonas	3.0	Anterior_nares	#8000ff
1011	Sphingomonas	Stenotrophomonas	3.0	Anterior_nares	#8000ff
1012	Stomatobaculum	Megasphaera	3.0	Saliva	#7effb5
1013	Megasphaera	Stomatobaculum	3.0	Saliva	#7effb5
1014	Stomatobaculum	Mogibacterium	3.0	Intertype	#cccccc
1015	Mogibacterium	Stomatobaculum	3.0	Intertype	#cccccc
1016	Stomatobaculum	Oribacterium	3.0	Saliva	#7effb5
1017	Oribacterium	Stomatobaculum	3.0	Saliva	#7effb5
1018	Stomatobaculum	Prevotella	4.0	Intertype	#cccccc
1019	Prevotella	Stomatobaculum	4.0	Intertype	#cccccc
1020	Stomatobaculum	Psychrobacter	2.0	Saliva	#7effb5
1021	Psychrobacter	Stomatobaculum	2.0	Saliva	#7effb5
1022	Stomatobaculum	Sanguibacter	7.0	Saliva	#7effb5
1023	Sanguibacter	Stomatobaculum	7.0	Saliva	#7effb5
1024	Streptobacillus	Alloprevotella	2.0	Intertype	#cccccc
1025	Alloprevotella	Streptobacillus	2.0	Intertype	#cccccc
1026	Streptobacillus	Mannheimia	2.0	Buccal_mucosa	#1996f3
1027	Mannheimia	Streptobacillus	2.0	Buccal_mucosa	#1996f3
1028	Streptobacillus	Pasteurella	2.0	Buccal_mucosa	#1996f3
1029	Pasteurella	Streptobacillus	2.0	Buccal_mucosa	#1996f3
1030	Streptobacillus	Riemerella	2.0	Buccal_mucosa	#1996f3
1031	Riemerella	Streptobacillus	2.0	Buccal_mucosa	#1996f3
1032	Streptococcus	Kytococcus	5.0	Intertype	#cccccc
1033	Kytococcus	Streptococcus	5.0	Intertype	#cccccc
1034	Streptomyces	Aureimonas	1.0	Anterior_nares	#8000ff
1035	Aureimonas	Streptomyces	1.0	Anterior_nares	#8000ff
1036	Streptomyces	Crocosphaera	1.0	Anterior_nares	#8000ff
1037	Crocosphaera	Streptomyces	1.0	Anterior_nares	#8000ff
1038	Streptomyces	Gulbenkiania	1.0	Anterior_nares	#8000ff
1039	Gulbenkiania	Streptomyces	1.0	Anterior_nares	#8000ff
1040	Streptomyces	Helicobacter	1.0	Anterior_nares	#8000ff
1041	Helicobacter	Streptomyces	1.0	Anterior_nares	#8000ff
1042	Streptomyces	Lactococcus	1.0	Anterior_nares	#8000ff
1043	Lactococcus	Streptomyces	1.0	Anterior_nares	#8000ff
1044	Streptomyces	Microbacterium	1.0	Anterior_nares	#8000ff
1045	Microbacterium	Streptomyces	1.0	Anterior_nares	#8000ff
1046	Streptomyces	Risungbinella	1.0	Anterior_nares	#8000ff
1047	Risungbinella	Streptomyces	1.0	Anterior_nares	#8000ff
1048	Streptomyces	Staphylococcus	1.0	Intertype	#cccccc
1049	Staphylococcus	Streptomyces	1.0	Intertype	#cccccc
1050	Subdoligranulum	Acetivibrio	4.0	Stool	#b2f396
1051	Acetivibrio	Subdoligranulum	4.0	Stool	#b2f396
1052	Subdoligranulum	Adlercreutzia	3.0	Stool	#b2f396
1053	Adlercreutzia	Subdoligranulum	3.0	Stool	#b2f396
1054	Subdoligranulum	Anaerotruncus	6.0	Stool	#b2f396
1055	Anaerotruncus	Subdoligranulum	6.0	Stool	#b2f396
1056	Subdoligranulum	Blautia	5.0	Stool	#b2f396
1057	Blautia	Subdoligranulum	5.0	Stool	#b2f396
1058	Subdoligranulum	Coprococcus	5.0	Stool	#b2f396
1059	Coprococcus	Subdoligranulum	5.0	Stool	#b2f396
1060	Subdoligranulum	Erysipelatoclostridium	3.0	Stool	#b2f396
1061	Erysipelatoclostridium	Subdoligranulum	3.0	Stool	#b2f396
1062	Subdoligranulum	Faecalibacterium	4.0	Stool	#b2f396
1063	Faecalibacterium	Subdoligranulum	4.0	Stool	#b2f396
1064	Subdoligranulum	Gordonibacter	4.0	Stool	#b2f396
1065	Gordonibacter	Subdoligranulum	4.0	Stool	#b2f396
1066	Subdoligranulum	Parasutterella	3.0	Stool	#b2f396
1067	Parasutterella	Subdoligranulum	3.0	Stool	#b2f396
1068	Tepidiphilus	Acidovorax	1.0	Anterior_nares	#8000ff
1069	Acidovorax	Tepidiphilus	1.0	Anterior_nares	#8000ff
1070	Tepidiphilus	Aliterella	1.0	Anterior_nares	#8000ff
1071	Aliterella	Tepidiphilus	1.0	Anterior_nares	#8000ff
1072	Tepidiphilus	Arthrobacter	1.0	Anterior_nares	#8000ff
1073	Arthrobacter	Tepidiphilus	1.0	Anterior_nares	#8000ff
1074	Tepidiphilus	Azohydromonas	1.0	Anterior_nares	#8000ff
1075	Azohydromonas	Tepidiphilus	1.0	Anterior_nares	#8000ff
1076	Tepidiphilus	Delftia	1.0	Anterior_nares	#8000ff
1077	Delftia	Tepidiphilus	1.0	Anterior_nares	#8000ff
1078	Tepidiphilus	Microvirga	1.0	Anterior_nares	#8000ff
1079	Microvirga	Tepidiphilus	1.0	Anterior_nares	#8000ff
1080	Tepidiphilus	Modestobacter	1.0	Anterior_nares	#8000ff
1081	Modestobacter	Tepidiphilus	1.0	Anterior_nares	#8000ff
1082	Tepidiphilus	Mycobacterium	1.0	Intertype	#cccccc
1083	Mycobacterium	Tepidiphilus	1.0	Intertype	#cccccc
1084	Tepidiphilus	Photobacterium	1.0	Anterior_nares	#8000ff
1085	Photobacterium	Tepidiphilus	1.0	Anterior_nares	#8000ff
