	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
440	Streptococcus constellatus	2	Subgingival_plaque	#e4cf74	13.0	4.0	#ff3b1e	#38e7d7
441	Alloprevotella tannerae	4	Subgingival_plaque	#e4cf74	13.0	4.0	#ff3b1e	#38e7d7
442	Streptococcus constellatus	2	Subgingival_plaque	#e4cf74	13.0	4.0	#ff3b1e	#38e7d7
443	Prevotella pallens	5	Tongue_dorsum	#ff0000	13.0	4.0	#ff3b1e	#38e7d7
444	Streptococcus constellatus	2	Subgingival_plaque	#e4cf74	13.0	4.0	#ff3b1e	#38e7d7
445	Prevotella sp. HJM029	5	Saliva	#7effb5	11.0	7.0	#ffa055	#c4e88a
446	Streptococcus mutans	2	Buccal_mucosa	#1996f3	3.0	2.0	#149df1	#2489f5
447	Campylobacter gracilis	3	Subgingival_plaque	#e4cf74	3.0	2.0	#149df1	#2489f5
448	Streptococcus mutans	2	Buccal_mucosa	#1996f3	3.0	2.0	#149df1	#2489f5
449	Neisseria polysaccharea	3	Attached	#4e4dfc	3.0	2.0	#149df1	#2489f5
450	Streptococcus sp. 1171_SSPC	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
451	Neisseria subflava	3	Throat	#ff5029	4.0	0.0	#10c6e6	#8000ff
452	Streptococcus sp. 1171_SSPC	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
453	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
454	Streptococcus sp. 449_SSPC	3	Tongue_dorsum	#ff0000	8.0	6.0	#a2f9a0	#96fca7
455	Fusobacterium sp. CM22	2	Supragingival_plaque	#ff964f	8.0	6.0	#a2f9a0	#96fca7
456	Streptococcus sp. ACS2	3	Buccal_mucosa	#1996f3	8.0	6.0	#a2f9a0	#96fca7
457	Fusobacterium sp. CM22	2	Supragingival_plaque	#ff964f	8.0	6.0	#a2f9a0	#96fca7
458	Streptococcus sp. I-G2	4	Tongue_dorsum	#ff0000	10.0	1.0	#ecc86f	#5247fc
459	Abiotrophia defectiva	3	Buccal_mucosa	#1996f3	10.0	1.0	#ecc86f	#5247fc
460	Streptococcus sp. I-P16	3	Tongue_dorsum	#ff0000	10.0	1.0	#ecc86f	#5247fc
461	Abiotrophia defectiva	3	Buccal_mucosa	#1996f3	10.0	1.0	#ecc86f	#5247fc
462	Streptococcus sp. SK140	3	Saliva	#7effb5	3.0	2.0	#149df1	#2489f5
463	Actinomyces oris	2	Supragingival_plaque	#ff964f	3.0	2.0	#149df1	#2489f5
464	Streptococcus sp. SK140	3	Saliva	#7effb5	3.0	2.0	#149df1	#2489f5
465	Campylobacter showae	4	Supragingival_plaque	#ff964f	3.0	2.0	#149df1	#2489f5
466	Streptococcus sp. SK140	3	Saliva	#7effb5	3.0	2.0	#149df1	#2489f5
467	Capnocytophaga sp. oral taxon 326	4	Supragingival_plaque	#ff964f	3.0	2.0	#149df1	#2489f5
468	Streptococcus sp. SK140	3	Saliva	#7effb5	3.0	2.0	#149df1	#2489f5
469	Capnocytophaga sp. oral taxon 332	2	Supragingival_plaque	#ff964f	6.0	0.0	#5af8c8	#8000ff
470	Streptococcus sp. SK140	3	Saliva	#7effb5	3.0	2.0	#149df1	#2489f5
471	Gemella sanguinis	5	Tongue_dorsum	#ff0000	3.0	2.0	#149df1	#2489f5
472	Streptococcus sp. SK140	3	Saliva	#7effb5	3.0	2.0	#149df1	#2489f5
473	Neisseria gonorrhoeae	2	Posterior_fornix	#4df3ce	3.0	2.0	#149df1	#2489f5
474	Streptococcus sp. SK140	3	Saliva	#7effb5	3.0	2.0	#149df1	#2489f5
475	Streptococcus mutans	2	Buccal_mucosa	#1996f3	3.0	2.0	#149df1	#2489f5
476	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
477	[Pasteurella] pneumotropica	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
478	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
479	Aggregatibacter actinomycetemcomitans	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
480	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
481	Aggregatibacter segnis	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
482	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
483	Kingella oralis	3	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
484	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
