	source	target	weight	edge_sample	edcolor
4180	Streptococcus sp. 263_SSPC	Carnobacterium maltaromaticum	6.0	Tongue_dorsum	#ff0000
4181	Carnobacterium maltaromaticum	Streptococcus sp. 263_SSPC	6.0	Tongue_dorsum	#ff0000
4182	Streptococcus sp. 263_SSPC	Oribacterium parvum	5.0	Tongue_dorsum	#ff0000
4183	Oribacterium parvum	Streptococcus sp. 263_SSPC	5.0	Tongue_dorsum	#ff0000
4184	Streptococcus sp. 263_SSPC	Porphyromonas endodontalis	5.0	Intertype	#cccccc
4185	Porphyromonas endodontalis	Streptococcus sp. 263_SSPC	5.0	Intertype	#cccccc
4186	Streptococcus sp. 263_SSPC	Prevotella denticola	5.0	Intertype	#cccccc
4187	Prevotella denticola	Streptococcus sp. 263_SSPC	5.0	Intertype	#cccccc
4188	Streptococcus sp. 263_SSPC	Streptococcus sp. 1171_SSPC	5.0	Tongue_dorsum	#ff0000
4189	Streptococcus sp. 1171_SSPC	Streptococcus sp. 263_SSPC	5.0	Tongue_dorsum	#ff0000
4190	Streptococcus sp. 343_SSPC	Alloprevotella rava	5.0	Intertype	#cccccc
4191	Alloprevotella rava	Streptococcus sp. 343_SSPC	5.0	Intertype	#cccccc
4192	Streptococcus sp. 343_SSPC	Leptotrichia sp. oral taxon 212	4.0	Intertype	#cccccc
4193	Leptotrichia sp. oral taxon 212	Streptococcus sp. 343_SSPC	4.0	Intertype	#cccccc
4194	Streptococcus sp. 343_SSPC	Sanguibacter keddieii	5.0	Intertype	#cccccc
4195	Sanguibacter keddieii	Streptococcus sp. 343_SSPC	5.0	Intertype	#cccccc
4196	Streptococcus sp. 343_SSPC	Streptococcus agalactiae	7.0	Buccal_mucosa	#1996f3
4197	Streptococcus agalactiae	Streptococcus sp. 343_SSPC	7.0	Buccal_mucosa	#1996f3
4198	Streptococcus sp. 343_SSPC	Streptococcus australis	6.0	Intertype	#cccccc
4199	Streptococcus australis	Streptococcus sp. 343_SSPC	6.0	Intertype	#cccccc
4200	Streptococcus sp. 400_SSPC	Campylobacter showae	5.0	Intertype	#cccccc
4201	Campylobacter showae	Streptococcus sp. 400_SSPC	5.0	Intertype	#cccccc
4202	Streptococcus sp. 400_SSPC	Capnocytophaga sp. oral taxon 863	4.0	Intertype	#cccccc
4203	Capnocytophaga sp. oral taxon 863	Streptococcus sp. 400_SSPC	4.0	Intertype	#cccccc
4204	Streptococcus sp. 400_SSPC	Eikenella corrodens	4.0	Intertype	#cccccc
4205	Eikenella corrodens	Streptococcus sp. 400_SSPC	4.0	Intertype	#cccccc
4206	Streptococcus sp. 400_SSPC	Haemophilus sputorum	5.0	Buccal_mucosa	#1996f3
4207	Haemophilus sputorum	Streptococcus sp. 400_SSPC	5.0	Buccal_mucosa	#1996f3
4208	Streptococcus sp. 400_SSPC	Lachnospiraceae bacterium oral taxon 500	4.0	Intertype	#cccccc
4209	Lachnospiraceae bacterium oral taxon 500	Streptococcus sp. 400_SSPC	4.0	Intertype	#cccccc
4210	Streptococcus sp. 400_SSPC	Neisseria meningitidis	5.0	Intertype	#cccccc
4211	Neisseria meningitidis	Streptococcus sp. 400_SSPC	5.0	Intertype	#cccccc
4212	Streptococcus sp. 400_SSPC	Oribacterium parvum	5.0	Intertype	#cccccc
4213	Oribacterium parvum	Streptococcus sp. 400_SSPC	5.0	Intertype	#cccccc
