	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
133	Bacillus	Capnocytophaga	1.0	1	2	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
134	Capnocytophaga	Bradyrhizobium	1.0	2	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	2.0	0.0	#7effb5	#8000ff
135	Bradyrhizobium	Capnocytophaga	1.0	1	2	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
136	Cardiobacterium	Abiotrophia	1.0	1	1	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	1.0	0.0	#01b3ec	#8000ff
137	Abiotrophia	Cardiobacterium	1.0	1	1	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	1.0	0.0	#01b3ec	#8000ff
138	Cardiobacterium	Acidovorax	1.0	1	1	Subgingival_plaque	Anterior_nares	Intertype	#e4cf74	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
139	Acidovorax	Cardiobacterium	1.0	1	1	Anterior_nares	Subgingival_plaque	Intertype	#8000ff	#e4cf74	#cccccc	1.0	0.0	#01b3ec	#8000ff
140	Cardiobacterium	Acinetobacter	1.0	1	1	Subgingival_plaque	Anterior_nares	Intertype	#e4cf74	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
141	Acinetobacter	Cardiobacterium	1.0	1	1	Anterior_nares	Subgingival_plaque	Intertype	#8000ff	#e4cf74	#cccccc	1.0	0.0	#01b3ec	#8000ff
142	Cardiobacterium	Actinobaculum	1.0	1	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
143	Actinobaculum	Cardiobacterium	1.0	2	1	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	2.0	0.0	#7effb5	#8000ff
144	Cardiobacterium	Actinomyces	1.0	1	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
145	Actinomyces	Cardiobacterium	1.0	2	1	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
146	Cardiobacterium	Afipia	1.0	1	1	Subgingival_plaque	Throat	Intertype	#e4cf74	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
147	Afipia	Cardiobacterium	1.0	1	1	Throat	Subgingival_plaque	Intertype	#ff5029	#e4cf74	#cccccc	1.0	0.0	#01b3ec	#8000ff
148	Cardiobacterium	Aggregatibacter	1.0	1	2	Subgingival_plaque	Mixed	Intertype	#e4cf74	#cccccc	#cccccc	1.0	0.0	#01b3ec	#8000ff
149	Aggregatibacter	Cardiobacterium	1.0	2	1	Mixed	Subgingival_plaque	Intertype	#cccccc	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
150	Cardiobacterium	Alistipes	1.0	1	1	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	1.0	0.0	#01b3ec	#8000ff
151	Alistipes	Cardiobacterium	1.0	1	1	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	1.0	0.0	#01b3ec	#8000ff
